date,lat,lon,tmax
1970-04-03,42.5,-70.5,7.3323917
1970-04-04,41.5,-71.5,9.368067
1970-04-04,41.5,-70.5,8.194927
1970-04-04,42.5,-71.5,8.46018
1970-04-04,42.5,-70.5,6.873899
1970-04-05,41.5,-71.5,8.916482
1970-04-05,41.5,-70.5,8.063321
1970-04-05,42.5,-71.5,8.640643
1970-04-05,42.5,-70.5,7.061468
1970-04-06,41.5,-71.5,8.340349
1970-04-06,41.5,-70.5,7.2816753
1970-04-06,42.5,-71.5,8.496105
1970-04-06,42.5,-70.5,6.576434
1970-04-07,41.5,-71.5,9.701954
1970-04-07,41.5,-70.5,8.35162
1970-04-07,42.5,-71.5,9.85718
1970-04-07,42.5,-70.5,7.9114084
1970-04-08,41.5,-71.5,12.707345
1970-04-08,41.5,-70.5,10.747707
1970-04-08,42.5,-71.5,13.9653225
1970-04-08,42.5,-70.5,11.077082
1970-04-09,41.5,-71.5,17.407104
1970-04-09,41.5,-70.5,14.804626
1970-04-09,42.5,-71.5,17.934036
1970-04-09,42.5,-70.5,14.298386
1970-04-10,41.5,-71.5,13.687359
1970-04-10,41.5,-70.5,11.7914295
1970-04-10,42.5,-71.5,14.747538
1970-04-10,42.5,-70.5,11.246235
1970-04-11,41.5,-71.5,9.289873
1970-04-11,41.5,-70.5,8.683035
1970-04-11,42.5,-71.5,9.632097
1970-04-11,42.5,-70.5,8.042326
1970-04-12,41.5,-71.5,11.263674
1970-04-12,41.5,-70.5,10.140681
1970-04-12,42.5,-71.5,11.461614
1970-04-12,42.5,-70.5,9.826903
1970-04-13,41.5,-71.5,12.49931
1970-04-13,41.5,-70.5,11.113708
1970-04-13,42.5,-71.5,13.026902
1970-04-13,42.5,-70.5,10.857518
1970-04-14,41.5,-71.5,13.116415
1970-04-14,41.5,-70.5,11.674786
1970-04-14,42.5,-71.5,14.828766
1970-04-14,42.5,-70.5,11.885685
1970-04-15,41.5,-71.5,13.972845
1970-04-15,41.5,-70.5,12.063065
1970-04-15,42.5,-71.5,15.468432
1970-04-15,42.5,-70.5,12.148833
1970-04-16,41.5,-71.5,14.569381
1970-04-16,41.5,-70.5,12.115748
1970-04-16,42.5,-71.5,16.064762
1970-04-16,42.5,-70.5,12.265433
1970-04-17,41.5,-71.5,13.92907
1970-04-17,41.5,-70.5,11.665374
1970-04-17,42.5,-71.5,16.182047
1970-04-17,42.5,-70.5,12.173652
1970-04-18,41.5,-71.5,14.752771
1970-04-18,41.5,-70.5,12.748304
1970-04-18,42.5,-71.5,15.320214
1970-04-18,42.5,-70.5,12.160738
1970-04-19,41.5,-71.5,13.020796
1970-04-19,41.5,-70.5,11.478567
1970-04-19,42.5,-71.5,13.225159
1970-04-19,42.5,-70.5,10.8156395
1970-04-20,41.5,-71.5,10.843447
1970-04-20,41.5,-70.5,9.437416
1970-04-20,42.5,-71.5,10.940233
1970-04-20,42.5,-70.5,8.87128
1970-04-21,41.5,-71.5,8.265045
1970-04-21,41.5,-70.5,7.2808814
1970-04-21,42.5,-71.5,8.248806
1970-04-21,42.5,-70.5,6.068179
1970-04-22,41.5,-71.5,12.201341
1970-04-22,41.5,-70.5,10.2816725
1970-04-22,42.5,-71.5,11.652229
1970-04-22,42.5,-70.5,9.101653
1970-04-23,41.5,-71.5,12.119085
1970-04-23,41.5,-70.5,10.453451
1970-04-23,42.5,-71.5,12.315921
1970-04-23,42.5,-70.5,9.949467
1970-04-24,41.5,-71.5,11.749587
1970-04-24,41.5,-70.5,10.624744
1970-04-24,42.5,-71.5,11.652807
1970-04-24,42.5,-70.5,9.573534
1970-04-25,41.5,-71.5,16.739588
1970-04-25,41.5,-70.5,15.003928
1970-04-25,42.5,-71.5,16.430975
1970-04-25,42.5,-70.5,14.365786
1970-04-26,41.5,-71.5,19.97273
1970-04-26,41.5,-70.5,17.372015
1970-04-26,42.5,-71.5,20.456585
1970-04-26,42.5,-70.5,17.106209
1970-04-27,41.5,-71.5,19.297758
1970-04-27,41.5,-70.5,17.255016
1970-04-27,42.5,-71.5,22.663105
