date,lat,lon,tmin
1970-03-20,42.5,-70.5,-6.678981
1970-03-21,41.5,-71.5,-1.3375612
1970-03-21,41.5,-70.5,-2.238563
1970-03-21,42.5,-71.5,-1.2493765
1970-03-21,42.5,-70.5,-2.6564105
1970-03-22,41.5,-71.5,-2.683467
1970-03-22,41.5,-70.5,-3.6166117
1970-03-22,42.5,-71.5,-1.983213
1970-03-22,42.5,-70.5,-3.6979265
1970-03-23,41.5,-71.5,-0.36087894
1970-03-23,41.5,-70.5,-1.6371558
1970-03-23,42.5,-71.5,0.24917436
1970-03-23,42.5,-70.5,-1.8250523
1970-03-24,41.5,-71.5,-1.1601441
1970-03-24,41.5,-70.5,-2.2806613
1970-03-24,42.5,-71.5,-0.44584537
1970-03-24,42.5,-70.5,-2.4212203
1970-03-25,41.5,-71.5,-1.7931321
1970-03-25,41.5,-70.5,-3.0056772
1970-03-25,42.5,-71.5,-0.8904246
1970-03-25,42.5,-70.5,-2.733345
1970-03-26,41.5,-71.5,-0.61306703
1970-03-26,41.5,-70.5,-2.0640879
1970-03-26,42.5,-71.5,-1.2690682
1970-03-26,42.5,-70.5,-3.3088217
1970-03-27,41.5,-71.5,0.6420574
1970-03-27,41.5,-70.5,-0.18655324
1970-03-27,42.5,-71.5,1.2909198
1970-03-27,42.5,-70.5,-0.48321438
1970-03-28,41.5,-71.5,-4.8917108
1970-03-28,41.5,-70.5,-5.4443145
1970-03-28,42.5,-71.5,-4.2917233
1970-03-28,42.5,-70.5,-5.7128315
1970-03-29,41.5,-71.5,-3.9406805
1970-03-29,41.5,-70.5,-4.6434045
1970-03-29,42.5,-71.5,-3.3593051
1970-03-29,42.5,-70.5,-5.0444865
1970-03-30,41.5,-71.5,-9.04599
1970-03-30,41.5,-70.5,-8.903168
1970-03-30,42.5,-71.5,-9.820534
1970-03-30,42.5,-70.5,-10.471652
1970-03-31,41.5,-71.5,-5.5406384
1970-03-31,41.5,-70.5,-6.9620476
1970-03-31,42.5,-71.5,-6.3205676
1970-03-31,42.5,-70.5,-8.284349
1970-04-01,41.5,-71.5,-6.547354
1970-04-01,41.5,-70.5,-6.0660005
1970-04-01,42.5,-71.5,-6.1683717
1970-04-01,42.5,-70.5,-6.7892766
1970-04-02,41.5,-71.5,-1.609154
1970-04-02,41.5,-70.5,-2.7350755
1970-04-02,42.5,-71.5,-1.332459
1970-04-02,42.5,-70.5,-3.3040526
1970-04-03,41.5,-71.5,0.3655131
1970-04-03,41.5,-70.5,-0.80584073
1970-04-03,42.5,-71.5,0.6662694
1970-04-03,42.5,-70.5,-1.2644069
1970-04-04,41.5,-71.5,-1.4239609
1970-04-04,41.5,-70.5,-2.936294
1970-04-04,42.5,-71.5,-0.9469981
1970-04-04,42.5,-70.5,-3.3398566
1970-04-05,41.5,-71.5,-3.946354
1970-04-05,41.5,-70.5,-5.2131424
1970-04-05,42.5,-71.5,-3.6709936
1970-04-05,42.5,-70.5,-5.9532404
1970-04-06,41.5,-71.5,-6.3312716
1970-04-06,41.5,-70.5,-7.005771
1970-04-06,42.5,-71.5,-6.324839
1970-04-06,42.5,-70.5,-8.078637
1970-04-07,41.5,-71.5,-1.0853612
1970-04-07,41.5,-70.5,-2.497761
1970-04-07,42.5,-71.5,-0.94796675
1970-04-07,42.5,-70.5,-3.4839141
1970-04-08,41.5,-71.5,-2.4223707
1970-04-08,41.5,-70.5,-4.074054
1970-04-08,42.5,-71.5,-2.1395793
1970-04-08,42.5,-70.5,-4.3659353
1970-04-09,41.5,-71.5,3.7317123
1970-04-09,41.5,-70.5,1.6537681
1970-04-09,42.5,-71.5,4.1040545
1970-04-09,42.5,-70.5,1.0678402
1970-04-10,41.5,-71.5,0.34425876
1970-04-10,41.5,-70.5,-1.1752025
1970-04-10,42.5,-71.5,1.2546587
1970-04-10,42.5,-70.5,-1.5411687
1970-04-11,41.5,-71.5,-2.895545
1970-04-11,41.5,-70.5,-3.8597577
1970-04-11,42.5,-71.5,-1.5607896
1970-04-11,42.5,-70.5,-3.6367998
1970-04-12,41.5,-71.5,-1.9853382
1970-04-12,41.5,-70.5,-2.9819627
1970-04-12,42.5,-71.5,-1.0132874
1970-04-12,42.5,-70.5,-2.9264314
1970-04-13,41.5,-71.5,-0.82665277
1970-04-13,41.5,-70.5,-1.7129645
1970-04-13,42.5,-71.5,-0.27473056
